stationReference,value,highestRecentLevel
E1550,1.1618430555555554,2.34
E1560,0.0013229166666666667,2.262
E15611,0.8095,4.664
E1594,0.40439583333333334,1.945
E1608,0.3232916666666667,1.169
E16120,-1.0,
E1633,0.05730208333333334,
E1660,0.21762499999999999,1.81
E1662,0.6398556701030929,3.004
E1672,1.366625,2.261
E1675,0.5545520833333334,
E1696,0.415875,0.851
E1727,0.232,2.969
E1742,0.22236458333333334,0.678
E1780,0.2772708333333333,2.431
E1782,0.11413541666666667,1.98
E1788,0.08734375,0.926
E1835,0.9636770833333332,3.816
E1839,0.10147916666666668,1.072
E1880,1.6623229166666667,
E1890,0.16044791666666666,3.36
E1901,0.16878125,
E19023,0.21691666666666667,1.097
E19027,0.14258333333333334,3.407
E19031,0.14904166666666666,2.35
E19035,0.18265625,2.12
E1946,0.24064583333333334,2.03
E1997,1.0149166666666667,3.083
E2043,0.8370937500000001,1.51
E2062,0.9477916666666667,2.884
E2097,0.11,1.38
E21034,0.23054166666666667,0.628
E2105,0.2725744680851064,2.27
E21136,0.19263541666666664,1.212
E21163,0.27296875,0.843
E2119,0.4310104166666667,1.18
E2125,0.3838333333333333,2.23
E21270,0.25227083333333333,1.516
E21324,0.14066666666666666,2.337
E21325,0.2811666666666667,0.78
E2141,0.26966666666666667,2.79
E21449,0.22233333333333336,2.909
E21493,2.140625,3.101
E21609,0.2647741935483871,0.981
E21732,0.37261458333333336,1.388
E21747,1.6194895833333334,2.92
E21788,1.0164479166666667,3.238
E21836,0.16217708333333333,0.585
E21838,1.8663125,2.416
E21852,1.16303125,2.056
E21856,0.17069791666666667,1.688
E21862,0.06237500000000001,3.236
E21968,0.42032291666666666,2.094
E22006,0.22634374999999998,1.345
E22008,0.2831875,1.315
E22022,0.59003125,2.611
E22078,0.2207916666666667,1.682
E22088,0.3513958333333333,2.787
E22137,0.1554375,1.503
E22176,0.38107291666666665,1.656
E2223,0.18217708333333335,1.23
E22377,0.31364583333333335,2.231
E2261,0.18857291666666667,3.623
E2270,0.2503229166666667,3.893
E2273,0.05955208333333333,1.85
E2285,0.10458333333333335,1.28
E2296,0.0815,2.86
E23527,0.6198750000000001,0.872
E23726,0.29251041666666666,2.221
E23740,0.7503645833333333,1.353
E23956,0.416,2.241
E24255,0.33132291666666663,1.926
E24267,0.15223958333333334,1.421
E24302,0.3491458333333333,1.169
E24317,0.03676041666666666,0.517
E24319,0.5382708333333334,0.911
E24367,0.45753125,1.2
E24451,0.25527083333333334,1.74
E24795,0.23473958333333333,1.178
E24805,0.26433333333333336,2.105
E24806,0.20552083333333335,2.093
E24807,1.0536666666666668,1.642
E24814,0.29891666666666666,1.101
E24819,1.2586249999999999,2.688
E24821,0.16578125000000002,1.921
E24829,0.37307291666666664,2.553
E24830,1.1392395833333333,2.359
E24899,0.34377083333333336,2.49
E25055,0.18881250000000002,1.754
E2608,0.11142708333333334,0.46
E2613,0.9235833333333333,1.19
E2647,0.13996875,0.54
E2655,0.16666666666666666,1.89
E2694,0.05333333333333334,0.55
E2710,0.4599166666666667,1.86
E2734,0.13159375,1.42
E27675,0.37772916666666667,2.344
E2790,1.242625,2.514
E2814,0.22394791666666666,2.964
E2846,0.11754166666666667,1.657
E2862,0.23513541666666668,1.038
E2896,0.06033333333333333,1.62
E2900,0.14203125,
E2901,0.19382291666666665,0.757
E2902,0.13609374999999999,1.441
E29202,0.27647872340425533,2.89
E3003,0.1870625,1.11
E3401,0.3911145833333334,0.755
E3951,0.27006250000000004,1.027
E3966,0.31920833333333337,1.354
E40411,0.7797395833333334,3.372
E4060,0.7879583333333334,2.08
E40684,0.5347500000000001,2.279
E41647,0.34052083333333333,
E42124,1.1316739130434783,1.85
E4225,0.80365625,1.638
E427,0.15530208333333334,1.624
E4321,0.21810416666666665,3.9
E4330,0.16722916666666668,0.937
E4341,0.18962500000000002,1.402
E4351,0.04700000000000001,4.891
E4370,0.22966666666666669,1.136
E4402,0.0012083333333333334,1.375
E4403,0.9988958333333332,3.146
E4405,0.10391666666666666,0.733
E4411,0.23197916666666665,0.581
E4412,0.9272812500000001,2.957
E4413,0.90253125,1.475
E4420,0.20170833333333335,
E4427,0.099875,1.35
E4482,0.16970833333333335,1.42
E4483,0.09973958333333333,1.763
E4485,0.17754166666666668,2.613
E46059,0.10930208333333334,1.514
E47041,0.13797916666666668,1.159
E47050,0.7985833333333333,0.856
E47061,0.7162291666666666,2.802
E47251,0.2656354166666667,0.47
E4803,0.43575,2.586
E4823,0.33379166666666665,3.86
E4826,0.6290208333333334,2.8
E4828,0.2675,5.48
E4832,0.06747916666666666,1.34
E4976,0.9921145833333332,1.815
E5080,0.23952083333333332,
E5320,0.5390104166666667,1.977
E560,0.6626354166666667,2.131
E581,0.13663541666666668,1.084
E5852,0.19198958333333335,3.134
E60101,0.24758333333333335,0.471
E60201,0.23826041666666667,0.738
E603,0.3129166666666667,2.096
E60501,0.7087812499999999,0.973
E60701,0.14603124999999997,0.867
E60901,0.4179895833333333,0.834
E61101,0.8553448275862068,1.532
E61201,0.14775,0.872
E6140,0.16146875000000002,1.881
E61901,0.13746875,1.348
E6380,6.361895833333333,
E6381,1.2564374999999999,
E642,0.42810526315789477,3.898
E651,0.25347916666666664,4.535
E6520,1.2742916666666666,3.56
E65501,1.3959062500000001,1.87
E6600,0.11415625,2.127
E6621,0.136375,
E6642,0.055822916666666667,1.375
E670,1.3003958333333332,4.004
E714,0.1896276595744681,2.167
E7842,0.026010416666666664,1.84
E8001,0.14347916666666666,2.57
E8190,0.1972340425531915,
E8210,0.021291666666666667,2.625
E8221,0.31027083333333333,2.359
E8241,0.13416666666666668,
E8266,0.10177083333333332,1.828
E8293,0.22580851063829785,2.421
E8340,1.3751458333333335,2.254
E8350,0.06797894736842106,1.481
E8360,0.31511702127659574,1.49
E8560,0.1672842105263158,
E861,0.2274375,2.318
E8654,-5.0637083333333335,
E9130,0.3245789473684211,2.498
E9140,0.91034375,4.007
E921,0.14788297872340425,
E9510,-3.3312500000000003,
E9883,0.13709375,2.914
E9890,-17.86661052631579,
E9920,1.1424166666666666,4.783
E9941,-1.297157894736842,
L2312,0.33160416666666664,3.492
L3211,1.1485208333333332,
PCHURCH_TG_342,0.31764583333333335,1.939
