stationReference,value,highestRecentLevel
1674TH,0.3388229166666667,
1679TH,0.6229270833333334,0.98
1681TH,0.6834270833333335,1.356
1745TH,0.18008333333333335,1.692
1756TH,0.5636041666666666,0.796
1757TH,0.6520416666666667,2.718
1761TH,0.15844791666666666,0.228
1771TH,0.0655,0.187
1790TH,0.21558333333333332,1.81
1796TH,0.6577916666666667,1.463
1799TH,0.1383125,1.977
1800TH,2.10634375,4.258
1801TH,0.18084375,1.601
1899TH,0.09714583333333333,1.322
1904TH,0.07072916666666666,2.03
1911TH,0.790625,2.471
1919TH,0.5433229166666668,
1922TH,0.32016666666666665,0.828
1923TH,0.8001874999999999,
1925TH,1.1499583333333334,1.865
1930TH,1.1889375,2.59
1934TH,0.6646666666666667,2.28
1961TH,1.3239895833333333,2.905
1980TH,4.195729166666667,6.039
1984TH,1.1393020833333332,1.934
1990TH,1.0037291666666666,2.626
1993TH,0.6027291666666666,2.835
1995TH,0.1986041666666667,0.153
2001,0.7578229166666667,5.037
2001TH,0.16022916666666667,1.54
2002,0.5719479166666667,3.963
2002TH,0.12879166666666667,0.796
2003TH,0.11641666666666667,1.119
2004,0.3451666666666666,
2004TH,0.056,0.953
2005,1.2096666666666667,6.56
2008,0.6105416666666666,4.811
2010,0.4052395833333333,1.883
2011,0.2314375,2.485
2012,0.5520729166666667,2.629
2015,0.22701041666666666,3.388
2016,0.3558333333333333,1.574
2017,0.33233333333333337,2.915
2018,0.25721875,1.949
2019,0.22563541666666667,
2020,0.25458333333333333,0.945
2020TH,0.16275,0.276
2023,0.19423958333333335,2.295
2024,0.25061458333333336,1.151
2027,0.2861666666666666,1.206
2029,0.63309375,5.538
2032,0.6762916666666667,5.446
2034,0.16313541666666667,2.604
2036,0.11563541666666667,3.526
2038,0.4243020833333333,2.18
2039,0.5166979166666666,4.199
2040,0.21577083333333333,0.821
2046,0.11230208333333334,
2048,0.14978125,1.705
2049,0.29402083333333334,
2050,0.4941041666666666,2.737
2052,0.29554166666666665,
2054,0.94828125,3.013
2057,1.2157604166666667,5.54
2063,0.19742708333333334,
2067,1.1505416666666666,2.527
2071,1.0798229166666666,5.321
2077,0.7784895833333333,4.443
2083,0.22085416666666668,1.767
2084,0.19381250000000003,2.779
2085,0.6799583333333333,5.037
2086,0.5796875,5.367
2087,0.5831041666666666,4.612
2088,0.13010416666666666,1.75
2090,0.549,3.267
2091,1.1893125,3.318
2092,0.3661145833333333,3.71
2093,0.6098645833333333,1.889
2094,0.6321145833333334,2.265
2095,0.9600624999999999,3.137
2097,3.2651041666666667,4.931
2098,2.599572916666667,4.619
2102,1.1825729166666668,6.149
2104,0.17778125,2.477
2107,0.59284375,1.746
2117,0.080875,
2124,0.09270833333333334,1.268
2125,0.10303125,2.352
2128,0.7929166666666667,3.677
2129,0.09373958333333333,
2131,0.6068125,1.798
2132,0.4209791666666667,2.065
2133,0.1736875,2.557
2134,0.8223958333333333,6.025
2139,0.37307291666666664,1.458
2140TH,0.25521875,0.654
2150TH,0.2638020833333334,0.709
2153,3.0698229166666664,7.064
2165,0.7556666666666666,4.454
2169,0.8014687500000001,3.444
2170,0.25013541666666667,1.85
2180,0.8412708333333333,4.55
2180TH,1.2731666666666668,1.954
2188,0.60721875,3.551
2190TH,0.21984375,1.079
2195,1.338638888888889,11.511
2195TH,0.16784374999999999,1.061
2199TH,0.11482291666666666,0.746
2200,0.7602708333333333,
2200TH,6.71209375,7.304
2201TH,0.2003125,0.836
2204TH,0.18677083333333333,2.297
2205,0.76053125,1.478
2206,0.0,
2207,0.24045833333333333,
2209,0.4238125,
2210TH,0.16964583333333336,0.686
2213,0.38928125,
2215,0.24133333333333332,
2216,0.0028854166666666668,
2218,0.17026041666666666,
2219TH,0.24155208333333333,0.812
2221,0.3530625,2.043
2223,0.16309375,1.442
2225,-0.00496875,1.105
2226,0.11947916666666665,1.175
2227,0.011322916666666667,2.605
2228,0.5096979166666666,3.863
2230TH,0.31921875,0.718
2232TH,0.09707291666666668,0.591
2239TH,0.077,0.237
2241TH,0.07627083333333333,1.078
2250TH,1.0590625,1.494
2251TH,0.7867083333333333,1.43
2254TH,0.9991979166666667,
2255,0.049468750000000006,1.768
2258,0.3084166666666667,2.286
2261,0.25971875,
2262,0.25433333333333336,2.13
2264TH,0.11953124999999999,0.545
2265,0.14192708333333334,
2267,0.5357916666666667,
2268,0.345375,1.727
2269,0.03664583333333333,0.819
2270,0.062322916666666665,0.934
2270_w1TH,1.4240416666666667,
2272,0.03678125,1.16
2273,0.18985416666666666,
2275,0.35917708333333337,
2275TH,0.15708333333333332,0.353
2276,0.14125,
2277,0.046125,
2279TH,0.2428645833333333,1.764
2292,6.967788194444444,
2293TH,0.8163541666666667,1.988
2298TH,0.09530208333333334,0.512
2301TH,0.100125,0.952
2302TH,0.063,0.964
2320,1.0121354166666665,5.839
2401TH,1.0583229166666668,1.369
2406TH,0.25172916666666667,1.273
2409TH,0.3001979166666667,0.88
2419TH,0.6964270833333334,1.79
2420_w1TH,0.21823958333333335,1.392
2420_w2TH,0.19613541666666667,1.391
2421TH,0.18879166666666666,
2423TH,0.22232500000000002,
2425,0.3555729166666666,
2427TH,0.8545104166666667,1.939
2431TH,1.34209375,2.392
2432TH,0.9256770833333334,2.29
2435TH,0.6632916666666667,1.701
2442TH,0.27529166666666666,0.623
2448TH,0.72984375,
2451TH,0.42,0.76
2453TH,0.7936458333333333,1.43
2455TH,0.4905520833333333,1.349
2458TH,0.22239583333333335,1.833
2469_w1TH,0.28913541666666664,1.481
2469_w2TH,0.2915520833333333,1.687
2473TH,0.2645,1.392
2481TH,0.22371875,1.454
2486TH,0.45925,2.329
2490TH,1.1827916666666667,3.108
2495TH,0.14165625,1.269
2497TH,0.10225000000000001,0.516
2499TH,0.09272916666666665,1.239
2511,0.48821875,1.261
2512,0.10940625,
